path=./bin/su ino=59220 mode=104755 nlink=1 uid=0 gid=0 size=39144 atime=1515801742 mtime=1495022399 ctime=1515801750 md5=25693c73f86828131abbec769c0ad085
path=./bin/sync ino=59630 mode=100755 nlink=1 uid=0 gid=0 size=34612 atime=1515801804 mtime=1487766225 ctime=1515801745 md5=99069bdfa0d4834522d22f44e4ca420c
path=./bin/systemctl ino=60146 mode=100755 nlink=1 uid=0 gid=0 size=181876 atime=1515801763 mtime=1499286685 ctime=1515801754 md5=1149af09950f5805dee58e761a1e8e99
path=./bin/systemd ino=60199 mode=120777 nlink=1 uid=0 gid=0 size=20 atime=1515801752 mtime=1499286685 ctime=1515801754 target=/lib/systemd/systemd
path=./bin/systemd-ask-password ino=60147 mode=100755 nlink=1 uid=0 gid=0 size=9840 atime=1515801752 mtime=1499286685 ctime=1515801754 md5=3cadcdb442af7afaa645acee834a507e
path=./bin/systemd-escape ino=60148 mode=100755 nlink=1 uid=0 gid=0 size=9828 atime=1515801945 mtime=1499286685 ctime=1515801754 md5=5a93723021a9f5b59557a3ddff606b57
path=./bin/systemd-hwdb ino=60957 mode=100755 nlink=1 uid=0 gid=0 size=75620 atime=1515801762 mtime=1499286685 ctime=1515801761 md5=01ad6c99dc7468f0a3135b382378fc00
path=./bin/systemd-inhibit ino=60149 mode=100755 nlink=1 uid=0 gid=0 size=13932 atime=1515801752 mtime=1499286685 ctime=1515801754 md5=01b838aba1bde56a1ad4a8bdf6fc6f1f
path=./bin/systemd-machine-id-setup ino=60150 mode=100755 nlink=1 uid=0 gid=0 size=13924 atime=1515801754 mtime=1499286685 ctime=1515801754 md5=e9753795682301580595dda6ca72f4af
path=./bin/systemd-notify ino=60151 mode=100755 nlink=1 uid=0 gid=0 size=9828 atime=1515801752 mtime=1499286685 ctime=1515801754 md5=e052e36f528207786bb5051b7a34f61c
